area_id,irrigation_efficiency
1,0.85
2,0.85
3,0.67
4,0.85
5,0.85
6,0.85
7,0.67
8,0.57
9,0.67
10,0.85
11,0.67
12,0.67
13,0.67
14,0.67
15,0.67
16,0.57
17,0.57
18,0.67
19,0.57
20,0.67
21,0.67
22,0.67
23,0.67
24,0.85
25,0.67
26,0.85
27,0.67
28,0.67
29,0.57
30,0.85
31,0.6
32,0.57
33,0.57
34,0.57
35,0.67
36,0.85
37,0.57
38,0.85
39,0.85
40,0.67
41,0.6
42,0.57
43,0.57
44,0.67
45,0.85
46,0.67
47,0.67
48,0.57
49,0.57
50,0.57
51,0.57
52,0.67
53,0.67
54,0.57
55,0.67
56,0.67
57,0.57
58,0.57
59,0.67
60,0.67
61,0.67
62,0.67
63,0.57
64,0.57
65,0.85
66,0.85
67,0.57
68,0.57
69,0.85
70,0.85
71,0.57
72,0.57
73,0.85
74,0.67
75,0.57
76,0.85
77,0.85
78,0.57
79,0.85
80,0.67
81,0.67
82,0.85
83,0.67
84,0.85
85,0.85
86,0.85
87,0.67
88,0.67
89,0.57
90,0.85
91,0.85
92,0.85
93,0.85
94,0.67
95,0.67
96,0.67
97,0.67
98,0.57
99,0.67
100,0.67
101,0.67
102,0.57
103,0.57
104,0.57
105,0.57
106,0.57
107,0.67
108,0.57
109,0.67
110,0.67
111,0.67
112,0.57
113,0.67
114,0.57
115,0.57
116,0.57
117,0.57
118,0.67
119,0.57
120,0.57
121,0.57
122,0.57
123,0.57
124,0.67
125,0.85
126,0.85
127,0.67
128,0.85
129,0.57
130,0.85
131,0.57
132,0.85
133,1
134,1
135,1
136,1
137,1
138,0.57
139,0.57
140,1
141,1
142,1
143,0.7
144,0.7
145,0.7
146,0.7
147,0.7
148,0.7
149,0.7
150,0.7
151,0.7
152,0.7
153,0.7
154,0.7
155,0.7
156,0.7
157,0.7
158,0.7
159,0.7
160,0.7
161,0.7
162,0.7
163,0.7
164,0.7
165,0.7
166,0.7
167,0.7
168,0.7
169,0.57
170,0.57
171,0.85
172,0.57
173,0.85
174,0.85
